"sell_date","date_time","day_name","day_index","is_workday","year_season","money","coffee_name","category","caffeine_level","contains_milk","segment_name","segment_id"
"2025-02-08","2025-02-08 14:26:04",Saturday,5,0,Winter,15,Tea,Tea,Low,0,Afternoon,3
"2025-02-08","2025-02-08 14:28:26",Saturday,5,0,Winter,15,Tea,Tea,Low,0,Afternoon,3
"2025-02-08","2025-02-08 14:33:04",Saturday,5,0,Winter,20,Espresso,Coffee,High,0,Afternoon,3
"2025-02-08","2025-02-08 15:51:04",Saturday,5,0,Winter,30,Chocolate with coffee,Coffee,Low,0,Afternoon,3
"2025-02-08","2025-02-08 16:35:01",Saturday,5,0,Winter,27,Chocolate with milk,Sweet,None,1,Evening,4
"2025-02-08","2025-02-08 18:55:30",Saturday,5,0,Winter,33,Espresso,Coffee,High,0,Evening,4
"2025-02-08","2025-02-08 18:59:03",Saturday,5,0,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Evening,4
"2025-02-08","2025-02-08 19:00:28",Saturday,5,0,Winter,27,Irish whiskey with milk,Alcohol-based,None,1,Evening,4
"2025-02-09","2025-02-09 08:45:45",Sunday,6,0,Winter,28,Double Irish whiskey,Alcohol-based,None,0,Morning,1
"2025-02-09","2025-02-09 10:41:36",Sunday,6,0,Winter,30,Chocolate with coffee,Coffee,Low,0,Midday,2
"2025-02-09","2025-02-09 10:42:55",Sunday,6,0,Winter,27,Double espresso,Coffee,Very High,0,Midday,2
"2025-02-09","2025-02-09 12:18:53",Sunday,6,0,Winter,25,Americano with milk,Coffee,High,1,Midday,2
"2025-02-09","2025-02-09 13:28:56",Sunday,6,0,Winter,20,Espresso,Coffee,High,0,Afternoon,3
"2025-02-09","2025-02-09 15:16:48",Sunday,6,0,Winter,30,Cappuccino,Coffee,Medium,1,Afternoon,3
"2025-02-09","2025-02-09 15:43:17",Sunday,6,0,Winter,32,Double espresso with milk,Coffee,Very High,1,Afternoon,3
"2025-02-09","2025-02-09 16:14:26",Sunday,6,0,Winter,28,Double Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-09","2025-02-09 16:23:52",Sunday,6,0,Winter,28,Caramel with Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-09","2025-02-09 16:25:15",Sunday,6,0,Winter,33,Latte,Coffee,Medium,1,Evening,4
"2025-02-09","2025-02-09 17:47:17",Sunday,6,0,Winter,33,Latte,Coffee,Medium,1,Evening,4
"2025-02-09","2025-02-09 18:01:22",Sunday,6,0,Winter,25,Americano with milk,Coffee,High,1,Evening,4
"2025-02-09","2025-02-09 18:01:22",Sunday,6,0,Winter,33,Latte,Coffee,Medium,1,Evening,4
"2025-02-09","2025-02-09 18:01:22",Sunday,6,0,Winter,15,Tea,Tea,Low,0,Evening,4
"2025-02-09","2025-02-09 18:02:39",Sunday,6,0,Winter,28,Caramel with Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-09","2025-02-09 19:50:36",Sunday,6,0,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Evening,4
"2025-02-10","2025-02-10 09:26:07",Monday,0,1,Winter,25,Americano,Coffee,High,0,Morning,1
"2025-02-10","2025-02-10 12:26:32",Monday,0,1,Winter,25,Americano,Coffee,High,0,Midday,2
"2025-02-10","2025-02-10 18:21:29",Monday,0,1,Winter,27,Chocolate with milk,Sweet,None,1,Evening,4
"2025-02-11","2025-02-11 09:49:22",Tuesday,1,1,Winter,15,Tea,Tea,Low,0,Morning,1
"2025-02-11","2025-02-11 18:35:30",Tuesday,1,1,Winter,25,Americano,Coffee,High,0,Evening,4
"2025-02-12","2025-02-12 17:57:46",Wednesday,2,1,Winter,27,Chocolate with milk,Sweet,None,1,Evening,4
"2025-02-13","2025-02-13 07:55:09",Thursday,3,1,Winter,33,Latte,Coffee,Medium,1,Morning,1
"2025-02-13","2025-02-13 08:12:14",Thursday,3,1,Winter,32,Double espresso with milk,Coffee,Very High,1,Morning,1
"2025-02-13","2025-02-13 08:47:48",Thursday,3,1,Winter,30,Cappuccino,Coffee,Medium,1,Morning,1
"2025-02-13","2025-02-13 10:28:04",Thursday,3,1,Winter,25,Americano with milk,Coffee,High,1,Midday,2
"2025-02-14","2025-02-14 12:33:35",Friday,4,1,Winter,20,Espresso,Coffee,High,0,Midday,2
"2025-02-14","2025-02-14 14:27:58",Friday,4,1,Winter,20,Espresso,Coffee,High,0,Afternoon,3
"2025-02-14","2025-02-14 14:33:41",Friday,4,1,Winter,28,Double Irish whiskey,Alcohol-based,None,0,Afternoon,3
"2025-02-14","2025-02-14 16:09:35",Friday,4,1,Winter,20,Espresso,Coffee,High,0,Evening,4
"2025-02-14","2025-02-14 19:02:15",Friday,4,1,Winter,20,Espresso,Coffee,High,0,Evening,4
"2025-02-14","2025-02-14 19:24:49",Friday,4,1,Winter,27,Chocolate with milk,Sweet,None,1,Evening,4
"2025-02-14","2025-02-14 19:30:59",Friday,4,1,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Evening,4
"2025-02-14","2025-02-14 19:53:26",Friday,4,1,Winter,28,Super chocolate,Sweet,None,0,Evening,4
"2025-02-14","2025-02-14 19:54:48",Friday,4,1,Winter,28,Double Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-15","2025-02-15 09:38:59",Saturday,5,0,Winter,25,Americano,Coffee,High,0,Morning,1
"2025-02-15","2025-02-15 11:10:57",Saturday,5,0,Winter,27,Double vanilla,Sweet,None,0,Midday,2
"2025-02-15","2025-02-15 13:43:38",Saturday,5,0,Winter,30,Mochaccino,Coffee,Medium,1,Afternoon,3
"2025-02-15","2025-02-15 13:45:12",Saturday,5,0,Winter,27,Irish whiskey with milk,Alcohol-based,None,1,Afternoon,3
"2025-02-15","2025-02-15 15:33:24",Saturday,5,0,Winter,15,Tea,Tea,Low,0,Afternoon,3
"2025-02-15","2025-02-15 15:35:50",Saturday,5,0,Winter,25,Americano with milk,Coffee,High,1,Afternoon,3
"2025-02-15","2025-02-15 15:48:07",Saturday,5,0,Winter,25,Americano with milk,Coffee,High,1,Afternoon,3
"2025-02-16","2025-02-16 16:36:54",Sunday,6,0,Winter,33,Latte,Coffee,Medium,1,Evening,4
"2025-02-16","2025-02-16 16:38:30",Sunday,6,0,Winter,28,Caramel with chocolate,Sweet,None,0,Evening,4
"2025-02-16","2025-02-16 16:41:18",Sunday,6,0,Winter,25,Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-16","2025-02-16 16:41:18",Sunday,6,0,Winter,20,Double vanilla,Sweet,None,0,Evening,4
"2025-02-16","2025-02-16 19:30:33",Sunday,6,0,Winter,33,Latte,Coffee,Medium,1,Evening,4
"2025-02-16","2025-02-16 23:01:01",Sunday,6,0,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Evening,4
"2025-02-16","2025-02-16 23:03:42",Sunday,6,0,Winter,30,Cappuccino,Coffee,Medium,1,Evening,4
"2025-02-16","2025-02-16 23:04:57",Sunday,6,0,Winter,28,Caramel coffee,Coffee,Medium,0,Evening,4
"2025-02-17","2025-02-17 07:58:44",Monday,0,1,Winter,20,Espresso,Coffee,High,0,Morning,1
"2025-02-17","2025-02-17 08:17:59",Monday,0,1,Winter,30,Cappuccino,Coffee,Medium,1,Morning,1
"2025-02-17","2025-02-17 16:26:51",Monday,0,1,Winter,28,Caramel with Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-17","2025-02-17 16:57:46",Monday,0,1,Winter,25,Americano with milk,Coffee,High,1,Evening,4
"2025-02-17","2025-02-17 17:00:13",Monday,0,1,Winter,20,Espresso,Coffee,High,0,Evening,4
"2025-02-17","2025-02-17 17:52:39",Monday,0,1,Winter,30,Cappuccino,Coffee,Medium,1,Evening,4
"2025-02-17","2025-02-17 18:26:38",Monday,0,1,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Evening,4
"2025-02-17","2025-02-17 22:10:07",Monday,0,1,Winter,25,Americano with milk,Coffee,High,1,Evening,4
"2025-02-18","2025-02-18 09:52:42",Tuesday,1,1,Winter,28,Vanilla with Irish whiskey,Alcohol-based,None,0,Morning,1
"2025-02-18","2025-02-18 10:14:06",Tuesday,1,1,Winter,25,Americano with milk,Coffee,High,1,Midday,2
"2025-02-18","2025-02-18 15:36:44",Tuesday,1,1,Winter,30,Cappuccino,Coffee,Medium,1,Afternoon,3
"2025-02-18","2025-02-18 15:42:11",Tuesday,1,1,Winter,25,Americano with milk,Coffee,High,1,Afternoon,3
"2025-02-19","2025-02-19 07:56:31",Wednesday,2,1,Winter,25,Americano,Coffee,High,0,Morning,1
"2025-02-19","2025-02-19 10:38:04",Wednesday,2,1,Winter,25,Americano,Coffee,High,0,Midday,2
"2025-02-19","2025-02-19 12:05:08",Wednesday,2,1,Winter,25,Americano with milk,Coffee,High,1,Midday,2
"2025-02-19","2025-02-19 12:20:37",Wednesday,2,1,Winter,20,Espresso,Coffee,High,0,Midday,2
"2025-02-20","2025-02-20 07:38:32",Thursday,3,1,Winter,30,Cappuccino,Coffee,Medium,1,Morning,1
"2025-02-20","2025-02-20 08:04:41",Thursday,3,1,Winter,30,Mochaccino,Coffee,Medium,1,Morning,1
"2025-02-20","2025-02-20 08:57:54",Thursday,3,1,Winter,29,Coffee with Irish whiskey,Alcohol-based,High,0,Morning,1
"2025-02-20","2025-02-20 09:36:06",Thursday,3,1,Winter,25,Americano with milk,Coffee,High,1,Morning,1
"2025-02-20","2025-02-20 09:36:06",Thursday,3,1,Winter,20,Espresso,Coffee,High,0,Morning,1
"2025-02-20","2025-02-20 12:07:16",Thursday,3,1,Winter,33,Latte,Coffee,Medium,1,Midday,2
"2025-02-20","2025-02-20 12:09:01",Thursday,3,1,Winter,30,Cappuccino,Coffee,Medium,1,Midday,2
"2025-02-20","2025-02-20 13:20:58",Thursday,3,1,Winter,25,Chocolate,Sweet,None,0,Afternoon,3
"2025-02-20","2025-02-20 17:06:57",Thursday,3,1,Winter,25,Americano with milk,Coffee,High,1,Evening,4
"2025-02-20","2025-02-20 17:09:30",Thursday,3,1,Winter,25,Americano with milk,Coffee,High,1,Evening,4
"2025-02-20","2025-02-20 17:42:39",Thursday,3,1,Winter,28,Double Irish whiskey,Alcohol-based,None,0,Evening,4
"2025-02-21","2025-02-21 08:39:10",Friday,4,1,Winter,25,Irish whiskey,Alcohol-based,None,0,Morning,1
"2025-02-21","2025-02-21 09:20:59",Friday,4,1,Winter,30,Mochaccino,Coffee,Medium,1,Morning,1
"2025-02-21","2025-02-21 09:49:18",Friday,4,1,Winter,25,Irish whiskey,Alcohol-based,None,0,Morning,1
